"File creation date","Household sequence number","Record type and seq indicator","State","Public Use Microdata Area","Person weight","Person's age","Person's sex","Person's marital status","Person's educational attainment","Person's race","Person is of Hispanic origin","Official poverty status","Person's medical out of pocket expenses, other than premiums (imputed)","Person's Medicare part B premium","Tax units created for TAXSIM","Adjusted gross income","SPM unit's ID","SPM unit's number of persons","SPM unit's number of adults","SPM unit's number of chidren","SPM unit's has cohabiting couple","SPM unit has a UI under 15 years old","SPM unit's equivalence scale","SPM unit's tenure/mortgage status","SPM unit's geographic adjustment","SPM poverty status","SPM unit's threshold","Total SPM resources for SPM unit","SPM unit's cash income","SPM unit's SNAP subsidy","SPM unit's capped housing subsidy","SPM unit's school lunch","SPM unit's energy subsidy","SPM unit's WIC value","SPM unit's federal tax","SPM unit's federal tax before refundable tax credits","SPM unit's federal EITC","SPM unit's FICA and federal retirement","SPM unit's state tax","SPM unit's capped work and child care expenses","SPM unit's work expenses - not capped","SPM unit's child care expenses - not capped","SPM unit's Medical Out-Of-Pocket and Medicare B subsidy","SPM unit's Health insurance premiums (imputed)",""
"20211015","10982","1","32","3200103","62","69","2","1","3","1","0","1","559.9648458626284","0","109820000000","0","10982001","2","1","1","0","0","0.6993681904144294","1","1","1","20445.329678575432","7847.024154137371","7800","0","0","606.989","0","0","0","0","0","0","0","0","0","0","559.9648458626284","0","0"
"20211015","10982","2","32","3200103","87","8","1","5","0","1","0","1","0","0","109820000000","0","10982001","2","1","1","0","0","0.6993681904144294","1","1","1","20445.329678575432","7847.024154137371","7800","0","0","606.989","0","0","0","0","0","0","0","0","0","0","559.9648458626284","0","0"
"20211015","10983","1","17","1703411","66","53","1","1","3","1","0","0","1500","0","109830000000","177400","10983001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999968","0","37415.02110026595","132478.4772745991","197400","0","0","200.83800000000002","0","0","22157","26157","0","15071","9220.60999","6196.397999999999","6196.397999999999","0","12477.352735400882","5866.9649237665335","500"
"20211015","10983","2","17","1703411","93","47","2","1","4","1","0","0","4067.451523545706","0","109829996544","0","10983001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999968","0","37415.02110026595","132478.4772745991","197400","0","0","200.83800000000002","0","0","22157","26157","0","15071","9220.60999","6196.397999999999","6196.397999999999","0","12477.352735400882","5866.9649237665335","1221.741481882098"
"20211015","10983","3","17","1703411","73","24","1","5","0","1","0","0","1042.9362880886426","0","109830000013","20000","10983001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999968","0","37415.02110026595","132478.4772745991","197400","0","0","200.83800000000002","0","0","22157","26157","0","15071","9220.60999","6196.397999999999","6196.397999999999","0","12477.352735400882","5866.9649237665335","5006.0941828254845"
"20211015","10983","4","17","1703411","88","13","1","5","0","1","0","0","0","0","109830000000","177400","10983001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999968","0","37415.02110026595","132478.4772745991","197400","0","0","200.83800000000002","0","0","22157","26157","0","15071","9220.60999","6196.397999999999","6196.397999999999","0","12477.352735400882","5866.9649237665335","0"
"20211015","10983","5","17","1703411","88","13","2","5","0","1","0","0","0","0","109830000000","177400","10983001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999968","0","37415.02110026595","132478.4772745991","197400","0","0","200.83800000000002","0","0","22157","26157","0","15071","9220.60999","6196.397999999999","6196.397999999999","0","12477.352735400882","5866.9649237665335","0"
"20211015","10984","1","55","5501600","28","42","1","1","3","1","0","0","1221.7414818820985","0","109840000000","30200","10984001","4","2","2","0","0","1","2","0.9062489999999992","0","22638.10001999998","25974.701718117904","30200","0","0","100.41900000000001","0","0","-7494.9702","580","4694.9702","4239","-165.52","2065.466","2065.466","0","5681.741481882098","4310","8620"
"20211015","10984","2","55","5501600","34","42","2","1","3","1","0","0","150","0","109839998976","0","10984001","4","2","2","0","0","1","2","0.9062489999999992","0","22638.10001999998","25974.701718117904","30200","0","0","100.41900000000001","0","0","-7494.9702","580","4694.9702","4239","-165.52","2065.466","2065.466","0","5681.741481882098","4310","0"
"20211015","10984","3","55","5501600","34","6","2","5","0","1","0","0","0","0","109840000000","30200","10984001","4","2","2","0","0","1","2","0.9062489999999992","0","22638.10001999998","25974.701718117904","30200","0","0","100.41900000000001","0","0","-7494.9702","580","4694.9702","4239","-165.52","2065.466","2065.466","0","5681.741481882098","4310","0"
"20211015","10984","4","55","5501600","27","4","2","5","0","1","0","0","0","0","109840000000","30200","10984001","4","2","2","0","0","1","2","0.9062489999999992","0","22638.10001999998","25974.701718117904","30200","0","0","100.41900000000001","0","0","-7494.9702","580","4694.9702","4239","-165.52","2065.466","2065.466","0","5681.741481882098","4310","0"
"20211015","10985","1","37","3703108","53","31","2","1","4","1","0","0","70.39819944598321","0","109850000000","98000","10985001","3","2","1","0","0","0.8801833070327151","1","0.9640719999999908","0","24806.805413146998","73711.88061763684","98000","0","0","0","0","0","6444","8444","0","7497","4340.0898","3813.1679999999997","3813.1679999999997","0","2193.861582363155","1614.4044321329638","3128.8088642659277"
"20211015","10985","2","37","3703108","55","32","1","1","4","1","0","0","509.0589507842078","0","109850001408","0","10985001","3","2","1","0","0","0.8801833070327151","1","0.9640719999999908","0","24806.805413146998","73711.88061763684","98000","0","0","0","0","0","6444","8444","0","7497","4340.0898","3813.1679999999997","3813.1679999999997","0","2193.861582363155","1614.4044321329638","100"
"20211015","10985","3","37","3703108","74","2","1","5","0","1","0","0","0","0","109850000000","98000","10985001","3","2","1","0","0","0.8801833070327151","1","0.9640719999999908","0","24806.805413146998","73711.88061763684","98000","0","0","0","0","0","6444","8444","0","7497","4340.0898","3813.1679999999997","3813.1679999999997","0","2193.861582363155","1614.4044321329638","0"
"20211015","10986","1","12","1210102","137","56","2","3","4","1","0","0","50","0","109860000000","5340","10986001","3","2","1","0","0","0.8801833070327151","1","1.0269460000000015","1","26424.633836279798","23000.728554353707","28980","0","0","100.41900000000001","0","0","-1879","0","1564","352","0","2065.466","2065.466","0","5541.224445646295","3665.224445646295","0"
"20211015","10986","2","12","1210102","217","16","1","5","0","1","0","0","0","0","109860000000","5340","10986001","3","2","1","0","0","0.8801833070327151","1","1.0269460000000015","1","26424.633836279798","23000.728554353707","28980","0","0","100.41900000000001","0","0","-1879","0","1564","352","0","2065.466","2065.466","0","5541.224445646295","3665.224445646295","0"
"20211015","10986","3","12","1210102","253","82","2","2","2","1","0","0","200","1626","109860000013","8100","10986001","3","2","1","0","0","0.8801833070327151","1","1.0269460000000015","1","26424.633836279798","23000.728554353707","28980","0","0","100.41900000000001","0","0","-1879","0","1564","352","0","2065.466","2065.466","0","5541.224445646295","3665.224445646295","3665.224445646295"
"20211015","10987","1","26","2602400","80","54","1","1","3","1","0","0","844.7783933518004","0","109870000000","63000","10987001","2","2","0","0","0","0.6534829100484774","2","0.8893160000000038","0","14517.1971346642","44855.78766377932","63000","0","0","0","0","0","4244","4244","0","4820","2324.6399","3535.1245","3535.1245","0","3220.447936220671","733.044889129259","0"
"20211015","10987","2","26","2602400","70","53","2","1","3","1","0","0","1642.624653739612","0","109869998080","0","10987001","2","2","0","0","0","0.6534829100484774","2","0.8893160000000038","0","14517.1971346642","44855.78766377932","63000","0","0","0","0","0","4244","4244","0","4820","2324.6399","3535.1245","3535.1245","0","3220.447936220671","733.044889129259","1466.089778258518"
"20211015","10988","1","12","1200904","128","69","1","1","2","2","0","0","300","1626","109880000000","0","10988001","2","2","0","0","0","0.6534829100484774","3","0.9763360000000026","0","18426.62357552232","20793.631667837722","23100","626","0","0","0","0","0","0","0","0","0","0","0","0","2932.368332162278","849.9278889489815","1333.3333333333333"
"20211015","10988","2","12","1200904","100","68","2","1","3","2","0","0","156.44044321329648","0","109880000512","0","10988001","2","2","0","0","0","0.6534829100484774","3","0.9763360000000026","0","18426.62357552232","20793.631667837722","23100","626","0","0","0","0","0","0","0","0","0","0","0","0","2932.368332162278","849.9278889489815","366.5224445646297"
"20211015","10990","1","42","4202600","20","36","2","1","4","1","0","0","158.52631578947376","0","109900000000","112000","10990001","4","2","2","0","0","1","1","0.8423159999999965","0","24624.265943999897","76656.41156138737","112000","0","0","0","0","0","6949","10989","0","8568","3438.3999","13572.05","3972.0499999999997","9600","2816.1385386126212","1857.6122228231477","50"
"20211015","10990","2","42","4202600","38","31","1","1","2","1","0","0","800","0","109899997184","0","10990001","4","2","2","0","0","1","1","0.8423159999999965","0","24624.265943999897","76656.41156138737","112000","0","0","0","0","0","6949","10989","0","8568","3438.3999","13572.05","3972.0499999999997","9600","2816.1385386126212","1857.6122228231477","3665.2244456462954"
